row,col,expected,actual,file
10243,CO2,no trailing characters,2023-07-19,literal data
10243,CH4,no trailing characters,15:16:17,literal data
10243,NA,22 columns,25 columns,literal data
10244,DATE,date like ,2,literal data
10244,TIME,time like ,in,literal data
10244,H2O,a double,"wetl""",literal data
10244,CO2,no trailing characters,2023-07-19,literal data
10244,CH4,no trailing characters,15:16:18,literal data
10244,NA,22 columns,25 columns,literal data
10245,DATE,date like ,2,literal data
10245,TIME,time like ,in,literal data
10245,H2O,a double,"wetl""",literal data
10245,CO2,no trailing characters,2023-07-19,literal data
10245,CH4,no trailing characters,15:16:19,literal data
10245,NA,22 columns,25 columns,literal data
10246,DATE,date like ,2,literal data
10246,TIME,time like ,in,literal data
10246,H2O,a double,"wetl""",literal data
10246,CO2,no trailing characters,2023-07-19,literal data
10246,CH4,no trailing characters,15:16:20,literal data
10246,NA,22 columns,25 columns,literal data
10247,DATE,date like ,2,literal data
10247,TIME,time like ,in,literal data
10247,H2O,a double,"wetl""",literal data
10247,CO2,no trailing characters,2023-07-19,literal data
10247,CH4,no trailing characters,15:16:21,literal data
10247,NA,22 columns,25 columns,literal data
